,Accuracy,F1,Precision,Recall
Logistic Regression,0.7857142857142857,0.846153846153846,0.7333333333333333,1.0
Naive Bayes,0.8571428571428571,0.8918918918918919,0.8048780487804879,1.0
Decision Tree,0.8035714285714286,0.8493150684931509,0.775,0.9393939393939394
SVM,0.8571428571428571,0.8918918918918919,0.8048780487804879,1.0
MLP,0.8928571428571429,0.9166666666666666,0.8461538461538461,1.0
