,Accuracy,F1,Precision,Recall
Logistic Regression,0.9795918367346939,0.9846153846153847,0.9696969696969697,1.0
Naive Bayes,0.9183673469387755,0.9354838709677419,0.9666666666666667,0.90625
Decision Tree,0.9387755102040817,0.9538461538461539,0.9393939393939394,0.96875
SVM,0.9795918367346939,0.9846153846153847,0.9696969696969697,1.0
MLP,0.9795918367346939,0.9846153846153847,0.9696969696969697,1.0
